number,value,datetime_start,datetime_complete,duration,params_alpha_bm25,params_alpha_text,params_alpha_triple,user_attrs_avg_answer_quality,user_attrs_avg_diversity,user_attrs_avg_precision,state
10,0.2872173581397009,2026-07-04 17:34:21.709727,2026-07-04 17:34:26.187988,0 days 00:00:04.478261,0.26498512732367463,0.5809016404895266,0.5878148443151463,0.5,0.6851689715767809,0.11666666666666665,COMPLETE
11,0.3240333755466598,2026-07-04 17:34:26.187988,2026-07-04 17:34:30.689231,0 days 00:00:04.501243,0.3970202620922331,0.20305180430617115,0.49327933776180816,0.5,0.5745556962666436,0.2166666666666667,COMPLETE
12,0.34572674248175295,2026-07-04 17:34:30.691883,2026-07-04 17:34:35.456707,0 days 00:00:04.764824,0.3957214106298843,0.3195732792933369,0.507160213332317,0.5,0.6079780304947321,0.2333333333333334,COMPLETE
13,0.324871120790016,2026-07-04 17:34:35.456707,2026-07-04 17:34:40.226973,0 days 00:00:04.770266,0.34437363839981494,0.2020901768637937,0.3976324893336278,0.5,0.5384592915222756,0.2333333333333334,COMPLETE
14,0.40992874005171454,2026-07-04 17:34:40.229367,2026-07-04 17:34:45.082082,0 days 00:00:04.852715,0.3412038829197217,0.3143417233780396,0.5197289293034448,0.5,0.7830958001723819,0.25,COMPLETE
15,0.35122024135517116,2026-07-04 17:34:45.083311,2026-07-04 17:34:49.988250,0 days 00:00:04.904939,0.3069671270049076,0.2892379625530246,0.5429567452034311,0.5,0.7429563600727929,0.18333333333333332,COMPLETE
16,0.3515123902674515,2026-07-04 17:34:49.989713,2026-07-04 17:34:54.619971,0 days 00:00:04.630258,0.34523543659212136,0.2400499856573836,0.4443688533092788,0.5,0.5883746342248385,0.25,COMPLETE
17,0.40992874005171454,2026-07-04 17:34:54.619971,2026-07-04 17:34:59.562650,0 days 00:00:04.942679,0.24061156566635267,0.32147016377494586,0.3509977141542071,0.5,0.7830958001723819,0.25,COMPLETE
18,0.40026207338504793,2026-07-04 17:34:59.564535,2026-07-04 17:35:04.528755,0 days 00:00:04.964220,0.2411868659683834,0.3390533721986331,0.34294094240976974,0.5,0.7897624668390485,0.2333333333333334,COMPLETE
19,0.3484027823404772,2026-07-04 17:35:04.531997,2026-07-04 17:35:09.658111,0 days 00:00:05.126114,0.23180110709809756,0.4333881791069316,0.36035591584054416,0.5,0.8113426078015907,0.15,COMPLETE
20,0.28879470041403354,2026-07-04 17:35:09.659717,2026-07-04 17:35:15.029712,0 days 00:00:05.369995,0.2929790606604288,0.30550810306112836,0.2102197979242173,0.5,0.4182045569356674,0.2333333333333334,COMPLETE
21,0.40026207338504793,2026-07-04 17:35:15.031131,2026-07-04 17:35:20.190989,0 days 00:00:05.159858,0.22938942449734248,0.3346877585889926,0.3240148908422406,0.5,0.7897624668390485,0.2333333333333334,COMPLETE
22,0.40992874005171454,2026-07-04 17:35:20.192128,2026-07-04 17:35:25.380728,0 days 00:00:05.188600,0.2559928616082021,0.3257047902805752,0.37560809784821336,0.5,0.7830958001723819,0.25,COMPLETE
23,0.29038435652008465,2026-07-04 17:35:25.381711,2026-07-04 17:35:30.395394,0 days 00:00:05.013683,0.316128219690765,0.28955389306268203,0.30514733631544366,0.5,0.42350341062250446,0.2333333333333334,COMPLETE
24,0.3953341115136343,2026-07-04 17:35:30.397404,2026-07-04 17:35:35.474049,0 days 00:00:05.076645,0.25493630284493973,0.3660826465453199,0.384356285644028,0.5,0.8122248161565588,0.2166666666666667,COMPLETE
25,0.29888402480636755,2026-07-04 17:35:35.474049,2026-07-04 17:35:40.740397,0 days 00:00:05.266348,0.20122368180989805,0.4105523667209817,0.4187641195903494,0.5,0.6851689715767809,0.13333333333333333,COMPLETE
26,0.29198643255621426,2026-07-04 17:35:40.741568,2026-07-04 17:35:45.671450,0 days 00:00:04.929882,0.21510334720226026,0.3197000676413436,0.5360354152220859,0.5,0.6232881085207141,0.15,COMPLETE
27,0.35115558543889547,2026-07-04 17:35:45.674008,2026-07-04 17:35:50.500531,0 days 00:00:04.826523,0.2840238053900389,0.2638839134275313,0.36979580870429346,0.5,0.626074173685207,0.2333333333333334,COMPLETE
28,0.3923459820717009,2026-07-04 17:35:50.502536,2026-07-04 17:35:55.476631,0 days 00:00:04.974095,0.25722986771247375,0.46304506089317576,0.3017313469062029,0.5,0.7244866069056698,0.25,COMPLETE
29,0.40992874005171454,2026-07-04 17:35:55.476631,2026-07-04 17:36:00.321667,0 days 00:00:04.845036,0.31644099740963433,0.3367361199636243,0.4682703561801851,0.5,0.7830958001723819,0.25,COMPLETE
30,0.4041934025582049,2026-07-04 17:36:00.321667,2026-07-04 17:36:05.227602,0 days 00:00:04.905935,0.3649404968052028,0.36366024178079,0.5448975367405907,0.5,0.7639780085273499,0.25,COMPLETE
31,0.4041934025582049,2026-07-04 17:36:05.230068,2026-07-04 17:36:10.061037,0 days 00:00:04.830969,0.3225642261965579,0.3439576081646318,0.4682490295238059,0.5,0.7639780085273499,0.25,COMPLETE
32,0.3461266574253704,2026-07-04 17:36:10.062071,2026-07-04 17:36:15.025570,0 days 00:00:04.963499,0.29867081885311975,0.30070090784879006,0.5183509774407927,0.5,0.7259777469734569,0.18333333333333332,COMPLETE
33,0.36082225210556207,2026-07-04 17:36:15.029257,2026-07-04 17:36:19.901990,0 days 00:00:04.872733,0.3757544936132577,0.4044732482789985,0.46849478694022073,0.5,0.6194075070185404,0.25,COMPLETE
34,0.40619340255820496,2026-07-04 17:36:19.905382,2026-07-04 17:36:24.755137,0 days 00:00:04.849755,0.33193729673505107,0.3258132961192698,0.4739664168217295,0.5,0.7706446751940166,0.25,COMPLETE
35,0.3177719418133731,2026-07-04 17:36:24.755791,2026-07-04 17:36:29.526540,0 days 00:00:04.770749,0.2744690546304027,0.23273758508988057,0.5670253917672218,0.5,0.6314620282667993,0.18333333333333332,COMPLETE
36,0.32038105450407983,2026-07-04 17:36:29.530125,2026-07-04 17:36:34.329775,0 days 00:00:04.799650,0.12705221588422838,0.27818735554310914,0.23845024347758523,0.5,0.7568257372358217,0.13333333333333333,COMPLETE
37,0.2706530992228809,2026-07-04 17:36:34.329775,2026-07-04 17:36:39.064010,0 days 00:00:04.734235,0.15973063008782729,0.3510094053952991,0.4182694886752295,0.5,0.6299547751873807,0.11666666666666665,COMPLETE
38,0.35565807165491004,2026-07-04 17:36:39.066022,2026-07-04 17:36:44.816233,0 days 00:00:05.750211,0.3527793367998554,0.38670011051234393,0.38895714258154185,0.5,0.6021935721830334,0.25,COMPLETE
39,0.33570004221332644,2026-07-04 17:36:44.818272,2026-07-04 17:36:49.725014,0 days 00:00:04.906742,0.3694184566851805,0.25201739208537133,0.43087513102408515,0.5,0.5745556962666436,0.2333333333333334,COMPLETE
40,0.3953341115136343,2026-07-04 17:36:49.726024,2026-07-04 17:36:54.530570,0 days 00:00:04.804546,0.21598873971669635,0.30417967039104366,0.32386175120940114,0.5,0.8122248161565588,0.2166666666666667,COMPLETE
41,0.391218799747436,2026-07-04 17:36:54.530570,2026-07-04 17:36:59.447853,0 days 00:00:04.917283,0.3292585026793219,0.32269517702702133,0.4594554593747058,0.5,0.7207293324914535,0.25,COMPLETE
42,0.34309292050236667,2026-07-04 17:36:59.447853,2026-07-04 17:37:04.409734,0 days 00:00:04.961881,0.30935719000340006,0.36109560079749875,0.506276066087347,0.5,0.7936430683412222,0.15000000000000002,COMPLETE
43,0.3318688930449174,2026-07-04 17:37:04.414252,2026-07-04 17:37:09.453813,0 days 00:00:05.039561,0.24569670597891977,0.33449847897796847,0.48302332130117676,0.5,0.6784518657052804,0.18333333333333332,COMPLETE
44,0.33026399907905624,2026-07-04 17:37:09.454322,2026-07-04 17:37:14.477971,0 days 00:00:05.023649,0.3363895489441827,0.38517758217516684,0.5628376240139712,0.5,0.7508799969301875,0.15000000000000002,COMPLETE
45,0.3481266574253704,2026-07-04 17:37:14.479076,2026-07-04 17:37:19.639973,0 days 00:00:05.160897,0.2755126333865278,0.27650440870937465,0.484499720887396,0.5,0.7326444136401236,0.18333333333333332,COMPLETE
46,0.3984228865339565,2026-07-04 17:37:19.642652,2026-07-04 17:37:24.702103,0 days 00:00:05.059451,0.38069777022341544,0.3152493970279507,0.5995755942229669,0.5,0.7836318440020773,0.2333333333333334,COMPLETE
47,0.37000077818030097,2026-07-04 17:37:24.705755,2026-07-04 17:37:29.719108,0 days 00:00:05.013353,0.29382697277387326,0.514425613000947,0.45373541951975294,0.5,0.8055581494898921,0.18333333333333335,COMPLETE
48,0.4043542157071136,2026-07-04 17:37:29.719108,2026-07-04 17:37:34.727593,0 days 00:00:05.008485,0.3537504105662832,0.2905144592752471,0.525366983023596,0.5,0.7645140523570454,0.25,COMPLETE
49,0.37365117352887256,2026-07-04 17:37:34.727593,2026-07-04 17:37:39.587554,0 days 00:00:04.859961,0.32168490767197766,0.35239011595070996,0.4075036236100708,0.5,0.6621705784295752,0.25,COMPLETE
